Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2024-02-07,189.41000366210938,295.8699951171875,170.52999877929688,209.0800018310547,211.9199981689453,323.5899963378906,288.8399963378906,49.77000045776367,152.1300048828125,99.13999938964844,386.6600036621094,362.69000244140625,182.9406280517578,183.74000549316406,157.97999572753906,175.42999267578125,59.9900016784668,287.3299865722656,78.46154022216797,127.47000122070312,414.04998779296875,103.79000091552734,70.0989990234375,159.1199951171875,309.8599853515625,214.22000122070312,519.3900146484375,279.3900146484375,40.41999816894531,56.459999084472656
2024-02-08,188.32000732421875,294.8500061035156,169.83999633789062,211.2100067138672,209.22000122070312,322.0,291.95001220703125,49.95000076293945,154.05999755859375,110.54000091552734,385.0400085449219,363.7200012207031,182.33741760253906,184.36000061035156,156.39999389648438,174.8000030517578,59.83000183105469,291.92999267578125,77.92642211914062,126.61000061035156,414.1099853515625,103.7699966430664,69.64099884033203,158.63999938964844,312.1499938964844,213.80999755859375,520.0900268554688,275.7799987792969,39.90999984741211,56.456668853759766
2024-02-09,188.85000610351562,291.1199951171875,174.4499969482422,212.47000122070312,209.1999969482422,317.1600036621094,291.29998779296875,50.130001068115234,151.0399932861328,108.38999938964844,384.260009765625,363.1499938964844,183.63807678222656,186.33999633789062,156.75999450683594,175.00999450683594,59.560001373291016,289.4700012207031,77.67558288574219,125.44999694824219,420.54998779296875,104.5,72.13300323486328,157.4199981689453,311.739990234375,214.5,518.219970703125,276.42999267578125,39.720001220703125,56.426666259765625
2024-02-12,187.14999389648438,294.42999267578125,172.33999633789062,212.25999450683594,209.3300018310547,321.6300048828125,287.32000732421875,49.9900016784668,152.0800018310547,109.29000091552734,392.6400146484375,365.45001220703125,186.00376892089844,186.16000366210938,157.85000610351562,175.7899932861328,59.70000076293945,289.44000244140625,79.1220703125,125.33999633789062,415.260009765625,107.18000030517578,72.24800109863281,157.11000061035156,310.4200134277344,214.69000244140625,517.6400146484375,275.07000732421875,40.099998474121094,56.766666412353516
2024-02-13,185.0399932861328,290.4800109863281,168.63999938964844,209.6699981689453,204.4600067138672,312.8399963378906,281.1499938964844,49.63999938964844,150.60000610351562,110.45999908447266,378.75,357.5899963378906,182.8557891845703,183.6999969482422,156.47000122070312,174.25999450683594,59.349998474121094,287.1099853515625,77.47491455078125,125.43000030517578,406.32000732421875,105.0,72.12799835205078,156.27000427246094,307.2099914550781,215.9499969482422,516.8499755859375,275.80999755859375,40.130001068115234,56.380001068115234
2024-02-14,184.14999389648438,290.07000732421875,170.97999572753906,210.89999389648438,203.3800048828125,316.7099914550781,289.1499938964844,50.279998779296875,151.00999450683594,111.55999755859375,378.0400085449219,358.2300109863281,183.66635131835938,183.57000732421875,155.74000549316406,176.02999877929688,59.290000915527344,288.1700134277344,77.27424621582031,125.81999969482422,409.489990234375,106.33000183105469,73.9000015258789,155.6300048828125,311.0299987792969,216.6199951171875,516.9400024414062,277.55999755859375,40.150001525878906,56.20000076293945
2024-02-15,183.86000061035156,289.07000732421875,169.8000030517578,212.52999877929688,205.3300018310547,323.07000732421875,291.94000244140625,49.060001373291016,154.4600067138672,112.44999694824219,385.4200134277344,361.0799865722656,186.56927490234375,186.8699951171875,157.9199981689453,179.8699951171875,59.400001525878906,291.8599853515625,77.24080657958984,126.54000091552734,406.55999755859375,106.05000305175781,72.65799713134766,157.00999450683594,312.510009765625,219.02000427246094,520.8800048828125,280.9800109863281,40.59000015258789,56.43000030517578
2024-02-16,182.30999755859375,283.70001220703125,169.50999450683594,212.55999755859375,203.88999938964844,321.9100036621094,289.7200012207031,48.439998626708984,154.6300048828125,111.5999984741211,384.44000244140625,362.3500061035156,185.83412170410156,187.63999938964844,156.5500030517578,179.02999877929688,59.38999938964844,292.0199890136719,76.29598999023438,127.79000091552734,404.05999755859375,103.51000213623047,72.61299896240234,157.50999450683594,309.0799865722656,217.52999877929688,521.5499877929688,278.55999755859375,40.4900016784668,56.78666687011719
2024-02-20,181.55999755859375,283.510009765625,167.0800018310547,212.49000549316406,203.3699951171875,313.739990234375,286.3900146484375,48.279998779296875,154.0,109.44000244140625,384.5199890136719,362.57000732421875,187.50234985351562,183.44000244140625,157.86000061035156,179.72999572753906,60.70000076293945,292.6499938964844,76.77257537841797,127.37000274658203,402.7900085449219,103.30000305175781,69.4520034790039,158.50999450683594,311.260009765625,220.10000610351562,521.0599975585938,275.1499938964844,40.5,58.619998931884766
2024-02-21,182.32000732421875,283.4599914550781,168.58999633789062,210.88999938964844,201.57000732421875,317.1400146484375,283.54998779296875,48.47999954223633,155.44000244140625,107.66999816894531,388.2699890136719,364.1300048828125,188.05844116210938,179.6999969482422,158.67999267578125,180.89999389648438,61.2400016784668,293.9100036621094,76.68060302734375,128.1199951171875,402.17999267578125,105.2699966430664,67.47200012207031,160.39999389648438,314.2900085449219,219.47999572753906,521.969970703125,276.760009765625,41.099998474121094,57.900001525878906
2024-02-22,184.3699951171875,285.17999267578125,174.5800018310547,213.99000549316406,201.5,322.0899963378906,293.6499938964844,48.56999969482422,155.42999267578125,107.63999938964844,390.4700012207031,371.3399963378906,189.2648468017578,184.2100067138672,160.4499969482422,183.07000732421875,61.150001525878906,295.9200134277344,77.11538696289062,129.25999450683594,411.6499938964844,105.08000183105469,78.53800201416016,160.55999755859375,320.6199951171875,222.3000030517578,526.5,283.75,40.72999954223633,58.470001220703125
2024-02-23,182.52000427246094,289.17999267578125,174.99000549316406,214.55999755859375,200.8300018310547,323.8800048828125,292.79998779296875,48.86000061035156,154.66000366210938,107.73999786376953,391.04998779296875,371.9599914550781,189.09519958496094,185.72000122070312,161.83999633789062,183.99000549316406,61.20000076293945,297.75,77.40802764892578,129.4499969482422,410.3399963378906,105.62999725341797,78.81700134277344,161.02999877929688,322.0299987792969,220.9600067138672,527.239990234375,283.6000061035156,40.65999984741211,58.52000045776367
2024-02-26,181.16000366210938,286.3699951171875,174.72999572753906,216.9600067138672,200.5399932861328,325.3800048828125,300.3900146484375,48.400001525878906,154.4499969482422,107.68000030517578,390.2200012207031,371.6000061035156,187.73797607421875,184.1300048828125,160.7899932861328,183.36000061035156,60.709999084472656,297.1199951171875,76.77257537841797,128.83999633789062,407.5400085449219,104.54000091552734,79.09200286865234,160.22000122070312,322.510009765625,220.0800018310547,525.3200073242188,284.1499938964844,39.689998626708984,59.599998474121094
2024-02-27,182.6300048828125,278.489990234375,173.5399932861328,217.97999572753906,201.39999389648438,327.6300048828125,299.5,48.310001373291016,152.16000366210938,109.41999816894531,390.80999755859375,375.55999755859375,186.7860565185547,184.8699951171875,160.97999572753906,183.4499969482422,60.34000015258789,293.760009765625,77.17391204833984,129.02999877929688,407.4800109863281,105.1500015258789,78.70099639892578,159.3000030517578,327.7200012207031,221.8800048828125,513.4199829101562,283.1700134277344,39.93000030517578,59.59000015258789
2024-02-28,181.4199981689453,277.4599914550781,173.16000366210938,218.02999877929688,207.0,329.55999755859375,299.7699890136719,48.060001373291016,152.33999633789062,110.80000305175781,393.17999267578125,377.6099853515625,186.21112060546875,185.3000030517578,161.5500030517578,184.3800048828125,60.400001525878906,295.19000244140625,76.47157287597656,128.19000244140625,407.7200012207031,104.3499984741211,77.66300201416016,160.0500030517578,329.67999267578125,220.4199981689453,498.2799987792969,285.6300048828125,40.099998474121094,59.619998931884766
2024-02-29,180.75,273.8299865722656,176.75999450683594,219.4199981689453,203.72000122070312,333.9599914550781,308.82000732421875,48.369998931884766,152.00999450683594,111.58000183105469,389.04998779296875,380.6099853515625,187.30442810058594,185.02999877929688,161.3800048828125,186.05999755859375,60.02000045776367,292.2799987792969,77.0234146118164,127.1500015258789,413.6400146484375,103.93000030517578,79.11199951171875,158.94000244140625,332.0299987792969,220.9600067138672,493.6000061035156,282.6400146484375,40.02000045776367,58.61000061035156
2024-03-01,179.66000366210938,280.3299865722656,178.22000122070312,219.66000366210938,200.0,336.70001220703125,316.8800048828125,48.400001525878906,152.80999755859375,111.94999694824219,388.1000061035156,384.45001220703125,187.2478790283203,188.1999969482422,162.1199951171875,185.2899932861328,59.529998779296875,290.7300109863281,76.80602264404297,126.95999908447266,415.5,101.87999725341797,82.27899932861328,158.85000610351562,335.2300109863281,218.82000732421875,489.5299987792969,283.1600036621094,40.20000076293945,58.7599983215332
